Unnamed: 0,fixture_id,h_result,event_date,venue,h_team,a_team,h_halftime_score,a_haftime_score,h_fulltime_score,a_fulltime_score,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
12,11784,2,2017-11-26T13:30:00+00:00,St. Mary's Stadium,41,45,1,1,4,1,5,2,7,3,17,5,5,0,10,0,7,5,6,13,7,2,,,67%,33%,,,,,1.0,1.0,663,329,564,232,85%,71%
13,11773,2,2017-11-29T20:00:00+00:00,Etihad Stadium,50,41,0,0,2,1,12,2,8,3,26,7,6,2,11,7,15,0,12,11,6,5,1.0,1.0,74%,26%,1.0,1.0,,,1.0,10.0,778,270,668,157,86%,58%
14,11763,1,2017-12-03T13:30:00+00:00,Vitality Stadium,35,41,1,0,1,1,5,4,7,9,16,15,4,2,9,11,7,4,6,12,5,4,0.0,6.0,47%,53%,2.0,1.0,,,2.0,4.0,415,458,330,371,80%,81%
15,11754,1,2017-12-10T12:00:00+00:00,St. Mary's Stadium,41,42,1,0,1,1,3,6,2,4,6,11,1,1,3,6,3,5,12,10,4,5,4.0,1.0,33%,67%,2.0,2.0,,,5.0,3.0,375,758,296,664,79%,88%
16,11747,0,2017-12-13T19:45:00+00:00,St. Mary's Stadium,41,46,0,3,1,4,4,11,5,2,11,16,2,3,6,9,5,7,13,9,9,9,3.0,1.0,53%,47%,1.0,0.0,,,5.0,3.0,413,369,334,278,81%,75%
17,11739,2,2017-12-16T15:00:00+00:00,Stamford Bridge,49,41,1,0,1,0,8,2,8,2,24,6,8,2,11,4,13,2,8,16,8,4,3.0,2.0,53%,47%,1.0,3.0,,,2.0,7.0,545,474,467,386,86%,81%
18,11726,1,2017-12-23T15:00:00+00:00,St. Mary's Stadium,41,37,1,0,1,1,6,2,4,4,12,10,2,4,8,8,4,2,16,9,9,1,3.0,4.0,52%,48%,2.0,1.0,,,1.0,5.0,384,345,269,223,70%,65%
19,11721,2,2017-12-26T12:30:00+00:00,Wembley Stadium,47,41,2,0,5,2,7,6,7,7,16,16,2,3,10,11,6,5,8,15,3,8,1.0,1.0,57%,43%,0.0,2.0,,,5.0,1.0,493,359,408,265,83%,74%
20,11705,1,2017-12-30T17:30:00+00:00,Old Trafford,33,41,0,0,0,0,3,3,5,4,15,8,7,1,8,7,7,1,12,13,10,7,1.0,2.0,54%,46%,2.0,4.0,,,3.0,3.0,500,423,427,329,85%,78%
21,11695,0,2018-01-02T19:45:00+00:00,St. Mary's Stadium,41,52,1,0,1,2,3,4,7,4,10,11,0,3,4,6,6,5,8,11,4,7,1.0,0.0,61%,39%,0.0,1.0,,,2.0,2.0,560,350,444,246,79%,70%
22,11690,1,2018-01-13T15:00:00+00:00,Vicarage Road,38,41,0,2,2,2,4,4,10,4,16,10,2,2,11,7,5,3,11,13,5,4,0.0,3.0,55%,45%,0.0,5.0,,,2.0,2.0,464,376,350,256,75%,68%
23,11673,1,2018-01-21T16:00:00+00:00,St. Mary's Stadium,41,47,1,1,1,1,4,2,5,10,10,17,1,5,4,11,7,6,8,15,2,9,2.0,1.0,41%,59%,2.0,3.0,,,1.0,4.0,343,491,237,407,69%,83%
24,11668,1,2018-01-31T19:45:00+00:00,St. Mary's Stadium,41,51,0,1,1,1,3,2,8,4,18,9,7,3,7,5,11,4,8,10,7,2,0.0,4.0,65%,35%,3.0,1.0,,,1.0,2.0,588,315,484,215,82%,68%
25,11660,0,2018-02-03T15:00:00+00:00,The Hawthorns,60,41,1,2,2,3,3,5,4,5,9,13,2,3,4,7,5,6,12,10,5,7,1.0,2.0,38%,62%,2.0,1.0,,,2.0,1.0,322,522,214,404,66%,77%
26,11643,0,2018-02-11T16:30:00+00:00,St. Mary's Stadium,41,40,0,2,0,2,4,4,2,8,6,16,0,4,5,11,1,5,5,8,3,1,5.0,0.0,52%,48%,1.0,2.0,,,2.0,4.0,545,510,427,399,78%,78%
27,11638,1,2018-02-24T15:00:00+00:00,Turf Moor,44,41,0,0,1,1,3,6,3,3,9,13,3,4,8,8,1,5,8,14,7,5,1.0,0.0,50%,50%,1.0,0.0,,,4.0,2.0,371,378,258,253,70%,67%
28,11627,1,2018-03-03T15:00:00+00:00,St. Mary's Stadium,41,75,0,0,0,0,6,3,5,9,18,12,7,0,9,3,9,9,8,13,15,4,2.0,2.0,65%,35%,0.0,1.0,,,3.0,6.0,422,240,329,162,78%,68%
29,11618,2,2018-03-10T15:00:00+00:00,St James' Park,34,41,2,0,3,0,5,2,2,3,7,6,0,1,5,3,2,3,10,10,2,6,1.0,1.0,37%,63%,0.0,2.0,,,2.0,2.0,305,509,188,374,62%,73%
30,11606,2,2018-03-31T14:00:00+00:00,London Stadium,48,41,3,0,3,0,5,0,4,5,12,9,3,4,8,6,4,3,9,16,5,9,1.0,0.0,48%,52%,0.0,3.0,,,0.0,2.0,374,404,261,293,70%,73%
31,11589,2,2018-04-08T13:15:00+00:00,Emirates Stadium,42,41,2,1,3,2,7,8,4,4,13,15,2,3,7,10,6,5,11,7,8,6,1.0,2.0,64%,36%,2.0,1.0,1.0,1.0,5.0,4.0,699,370,597,266,85%,72%
32,11587,0,2018-04-14T11:30:00+00:00,St. Mary's Stadium,41,49,1,0,2,3,7,5,2,4,10,17,1,8,8,8,2,9,13,14,4,7,1.0,2.0,42%,58%,5.0,3.0,,,2.0,5.0,377,518,277,420,73%,81%
33,11575,1,2018-04-19T18:45:00+00:00,King Power Stadium,46,41,0,0,0,0,3,2,4,4,11,6,4,0,5,4,6,2,10,10,11,3,3.0,2.0,54%,46%,,,,,2.0,3.0,452,384,360,280,80%,73%
34,11566,2,2018-04-28T14:00:00+00:00,St. Mary's Stadium,41,35,1,1,2,1,6,7,4,5,14,14,4,2,8,6,6,8,12,11,5,8,1.0,2.0,40%,60%,5.0,1.0,,,6.0,4.0,354,502,256,399,72%,79%
35,11551,1,2018-05-05T16:30:00+00:00,Goodison Park,45,41,0,0,1,1,3,5,5,2,9,11,1,4,6,3,3,8,14,12,3,4,2.0,4.0,54%,46%,2.0,6.0,0.0,1.0,4.0,2.0,415,358,325,264,78%,74%
36,11547,0,2018-05-08T18:45:00+00:00,Liberty Stadium,76,41,0,0,0,1,3,8,5,3,11,13,3,2,4,9,7,4,7,15,7,6,2.0,0.0,53%,47%,2.0,1.0,,,7.0,3.0,416,372,300,253,72%,68%
37,11538,0,2018-05-13T14:00:00+00:00,St. Mary's Stadium,41,50,0,0,0,1,3,2,5,5,8,13,0,6,7,6,1,7,8,10,1,12,4.0,2.0,30%,70%,3.0,2.0,,,1.0,2.0,259,583,173,506,67%,87%
0,11911,2,2017-08-11T18:45:00+00:00,Emirates Stadium,42,46,2,2,4,3,10,3,9,3,27,6,8,0,15,5,12,1,9,12,9,4,5.0,3.0,70%,30%,0.0,1.0,,,0.0,6.0,632,263,538,167,85%,63%
1,11895,2,2017-08-19T16:30:00+00:00,bet365 Stadium,75,42,0,0,1,0,4,6,5,6,11,18,2,6,9,9,2,9,6,11,2,9,4.0,3.0,22%,78%,,,,,6.0,3.0,213,731,137,639,64%,87%
2,11882,2,2017-08-27T15:00:00+00:00,Anfield,40,42,2,0,4,0,10,0,5,6,18,8,3,2,13,5,5,3,6,9,4,3,3.0,5.0,48%,52%,2.0,4.0,,,0.0,7.0,507,539,411,438,81%,81%
3,11876,2,2017-09-09T14:00:00+00:00,Emirates Stadium,42,35,2,0,3,0,9,2,4,5,17,7,4,0,11,6,6,1,14,10,10,3,4.0,0.0,58%,42%,0.0,1.0,,,2.0,6.0,583,401,464,291,80%,73%
4,11863,1,2017-09-17T12:30:00+00:00,Stamford Bridge,49,42,0,0,0,0,4,2,3,5,13,11,6,4,7,6,6,5,11,15,5,1,4.0,2.0,50%,50%,2.0,3.0,1.0,0.0,2.0,4.0,532,520,416,411,78%,79%
5,11852,2,2017-09-25T19:00:00+00:00,Emirates Stadium,42,60,1,0,2,0,6,3,6,3,16,7,4,1,10,4,6,3,8,17,7,4,,,69%,31%,1.0,4.0,,,2.0,4.0,615,272,537,188,87%,69%
6,11844,2,2017-10-01T11:00:00+00:00,Emirates Stadium,42,51,1,0,2,0,11,1,8,5,25,9,6,3,14,4,11,5,7,8,6,5,2.0,3.0,65%,35%,0.0,2.0,,,1.0,6.0,697,357,612,269,88%,75%
7,11835,2,2017-10-14T16:30:00+00:00,Vicarage Road,38,42,0,1,2,1,2,6,6,3,11,9,3,0,7,5,4,4,8,10,2,5,1.0,0.0,46%,54%,1.0,0.0,,,5.0,0.0,465,552,365,442,78%,80%
8,11823,0,2017-10-22T12:30:00+00:00,Goodison Park,45,42,1,1,2,5,3,14,4,8,9,30,2,8,6,21,3,9,14,14,0,7,2.0,1.0,32%,68%,3.0,1.0,1.0,0.0,9.0,1.0,287,616,199,516,69%,84%
9,11816,2,2017-10-28T14:00:00+00:00,Emirates Stadium,42,76,0,1,2,1,5,2,8,2,17,4,4,0,12,3,5,1,9,9,5,2,2.0,1.0,72%,28%,,,,,1.0,3.0,805,300,701,218,87%,73%
10,11804,2,2017-11-05T14:15:00+00:00,Etihad Stadium,50,42,1,0,3,1,5,3,2,3,9,6,2,0,7,3,2,3,15,15,5,5,3.0,3.0,58%,42%,1.0,6.0,,,2.0,3.0,624,450,544,369,87%,82%
11,11801,2,2017-11-18T12:30:00+00:00,Emirates Stadium,42,47,2,0,2,0,5,4,4,8,14,14,5,2,8,10,6,4,11,16,7,4,8.0,1.0,42%,58%,4.0,1.0,,,4.0,3.0,399,549,281,436,70%,79%
