,h_shot_on_goal,a_shot_on_goal,h_shot_off_goal,a_shot_off_goal,h_total_shots,a_total_shots,h_blocked_shots,a_blocked_shots,h_shots_inside_box,a_shots_inside_box,h_shots_outside_box,a_shots_outside_box,h_fouls,a_fouls,h_corner_kicks,a_corner_kicks,h_offsides,a_offsides,h_ball_possession,a_ball_possession,h_yellow_cards,a_yellow_cards,h_red_cards,a_red_cards,h_goalkeeper_saves,a_goalkeeper_saves,h_total_passes,a_total_passes,h_accurate_passes,a_accurate_passes,h_pass_percentage,a_pass_percentage
612,6.0,0.0,4.0,3.0,11.0,7.0,1.0,4.0,8.0,2.0,3.0,6.0,5.0,15.0,6.0,3.0,4.0,3.0,52.0,48.0,2.0,1.0,0.0,0.0,0.0,3.0,544.0,502.0,457.0,409.0,84.0,81.0
613,1.0,2.0,7.0,6.0,12.0,13.0,4.0,5.0,6.0,6.0,6.0,7.0,10.0,14.0,5.0,3.0,1.0,2.0,52.0,48.0,2.0,2.0,0.0,0.0,2.0,0.0,422.0,367.0,332.0,279.0,79.0,76.0
614,3.0,2.0,6.0,2.0,13.0,10.0,4.0,6.0,9.0,5.0,4.0,5.0,16.0,11.0,10.0,9.0,3.0,1.0,56.0,44.0,5.0,4.0,0.0,0.0,1.0,1.0,398.0,297.0,299.0,200.0,75.0,67.0
615,8.0,2.0,5.0,1.0,19.0,3.0,6.0,0.0,12.0,1.0,7.0,2.0,7.0,9.0,13.0,1.0,0.0,6.0,72.0,28.0,0.0,2.0,0.0,0.0,1.0,7.0,661.0,255.0,573.0,160.0,87.0,63.0
616,3.0,8.0,4.0,3.0,10.0,21.0,3.0,10.0,4.0,9.0,6.0,12.0,16.0,15.0,2.0,8.0,1.0,1.0,34.0,66.0,2.0,3.0,0.0,0.0,7.0,1.0,294.0,557.0,197.0,452.0,67.0,81.0
617,6.0,3.0,4.0,4.0,17.0,13.0,7.0,6.0,12.0,7.0,5.0,6.0,15.0,12.0,8.0,8.0,2.0,1.0,49.0,51.0,2.0,3.0,0.0,0.0,3.0,4.0,410.0,418.0,333.0,351.0,81.0,84.0
618,9.0,0.0,5.0,1.0,21.0,1.0,7.0,0.0,15.0,1.0,6.0,0.0,5.0,16.0,4.0,2.0,2.0,1.0,60.0,40.0,0.0,3.0,0.0,0.0,0.0,4.0,685.0,463.0,616.0,380.0,90.0,82.0
619,6.0,3.0,6.0,3.0,14.0,6.0,2.0,0.0,9.0,4.0,5.0,2.0,13.0,12.0,10.0,3.0,1.0,4.0,62.0,38.0,5.0,2.0,0.0,0.0,2.0,5.0,500.0,308.0,386.0,204.0,77.0,66.0
620,7.0,1.0,7.0,11.0,17.0,13.0,3.0,1.0,11.0,8.0,6.0,5.0,11.0,15.0,5.0,2.0,0.0,0.0,52.0,48.0,0.0,2.0,0.0,0.0,1.0,5.0,461.0,415.0,365.0,323.0,79.0,78.0
621,6.0,2.0,4.0,4.0,13.0,10.0,3.0,4.0,8.0,5.0,5.0,5.0,13.0,11.0,6.0,3.0,3.0,4.0,45.0,55.0,2.0,3.0,0.0,0.0,1.0,5.0,380.0,464.0,258.0,347.0,68.0,75.0
