,fixture_id,event_date,home_team,away_team,home_team_id,away_team_id,h_halftime_score,a_halftime_score,h_fulltime_score,a_fulltime_score
80,650221,2020-12-14T00:30:00+00:00,Huracan,Independiente,445,453,1,2,3,2
81,654095,2020-12-14T20:10:00+00:00,Rosario Central,Patronato,437,444,1,0,4,0
82,654096,2020-12-14T22:20:00+00:00,Central Cordoba de Santiago,Godoy Cruz,1065,439,1,1,1,1
83,650222,2020-12-15T00:30:00+00:00,Atletico Tucuman,Banfield,455,449,0,2,0,2
84,650225,2020-12-19T00:10:00+00:00,Arsenal Sarandi,Argentinos JRS,459,458,0,1,0,1
85,654097,2020-12-19T20:10:00+00:00,Patronato,Aldosivi,444,463,0,0,0,1
86,654098,2020-12-19T22:10:00+00:00,Godoy Cruz,Newells Old Boys,439,457,0,2,0,3
87,650226,2020-12-19T22:20:00+00:00,San Lorenzo,Colon Santa Fe,460,448,1,0,2,2
88,650227,2020-12-20T00:30:00+00:00,Talleres Cordoba,Atletico Tucuman,456,455,0,1,1,1
89,654099,2020-12-20T20:10:00+00:00,Lanus,Defensa Y Justicia,446,442,1,1,1,1
90,650224,2020-12-20T22:20:00+00:00,Independiente,Boca Juniors,453,451,1,0,1,2
91,654100,2020-12-20T22:20:00+00:00,Estudiantes L.P.,Racing Club,450,436,0,1,1,1
92,650223,2020-12-21T00:30:00+00:00,Huracan,River Plate,445,435,0,2,1,3
93,654101,2020-12-21T22:20:00+00:00,Rosario Central,Union Santa Fe,437,441,2,1,2,2
94,654102,2020-12-21T22:20:00+00:00,Central Cordoba de Santiago,Velez Sarsfield,1065,438,0,1,0,2
95,650228,2020-12-22T00:30:00+00:00,Banfield,Gimnasia L.P.,449,434,1,0,2,1
96,654103,2020-12-27T20:10:00+00:00,Defensa Y Justicia,Patronato,442,444,2,1,2,1
97,654104,2020-12-27T20:10:00+00:00,Racing Club,Godoy Cruz,436,439,0,1,6,1
98,650231,2020-12-27T22:20:00+00:00,Boca Juniors,Huracan,451,445,2,0,3,0
99,650229,2020-12-28T00:30:00+00:00,River Plate,Arsenal Sarandi,435,459,0,0,2,1
100,654105,2020-12-28T20:10:00+00:00,Newells Old Boys,Central Cordoba de Santiago,457,1065,0,0,3,1
101,650230,2020-12-28T22:20:00+00:00,Argentinos JRS,Independiente,458,453,0,1,0,2
102,654106,2020-12-28T22:20:00+00:00,Velez Sarsfield,Estudiantes L.P.,438,450,2,3,2,3
103,650232,2020-12-29T00:30:00+00:00,Colon Santa Fe,Banfield,448,449,1,0,1,2
104,650233,2020-12-29T00:30:00+00:00,Gimnasia L.P.,Talleres Cordoba,434,456,0,1,2,2
105,654107,2020-12-29T20:10:00+00:00,Aldosivi,Rosario Central,463,437,0,1,0,1
106,654108,2020-12-29T22:20:00+00:00,Union Santa Fe,Lanus,441,446,1,0,2,0
107,654078,2020-12-30T00:30:00+00:00,Atletico Tucuman,San Lorenzo,455,460,0,1,1,3
108,654110,2021-01-02T20:30:00+00:00,Rosario Central,Defensa Y Justicia,437,442,1,0,3,0
109,654079,2021-01-03T00:30:00+00:00,Boca Juniors,River Plate,451,435,1,0,2,2
110,654081,2021-01-03T20:10:00+00:00,Independiente,Arsenal Sarandi,453,459,1,1,3,4
111,654111,2021-01-03T22:20:00+00:00,Patronato,Lanus,444,446,0,0,1,1
112,654112,2021-01-03T22:20:00+00:00,Newells Old Boys,Velez Sarsfield,457,438,0,0,0,1
113,654113,2021-01-04T00:30:00+00:00,Central Cordoba de Santiago,Racing Club,1065,436,1,1,2,2
114,654109,2021-01-04T20:10:00+00:00,Aldosivi,Union Santa Fe,463,441,0,1,1,3
115,654083,2021-01-04T22:20:00+00:00,San Lorenzo,Gimnasia L.P.,460,434,0,0,1,2
116,654084,2021-01-05T00:30:00+00:00,Talleres Cordoba,Banfield,456,449,2,1,3,2
117,654080,2021-01-05T22:20:00+00:00,Huracan,Argentinos JRS,445,458,0,0,0,1
